,collocate,raw_frequency,MI
0,to,393339,1.2792327728610198
1,her,157324,2.8870969689339256
2,be,81619,0.7121878048102033
3,near,4122,0.9322913474218081
4,but,94079,1.3787115208417466
5,blind,878,0.9746611184608218
6,like,28291,1.714136298123973
7,watchful,158,1.9965654985090264
8,frequently,387,1.7938830190661565
9,lifted,1437,1.5806071146850231
10,and,464653,1.541666743506026
11,took,9099,1.6809103534626706
12,on,83998,1.0677197942352716
13,s,98437,3.447317742185074
14,knee,731,3.029696429247751
15,lips,3164,1.3021532956424944
16,sobbed,206,2.4244315433063575
17,that,184707,1.4248743017911374
18,was,187449,1.666657991633779
19,taken,4864,1.2775943089922004
20,rejoin,50,3.8402847066677923
21,your,32982,3.771025420631731
22,have,75818,0.9229359489020884
23,you,154336,1.0121705622497863
24,she,141679,0.5777386708038785
25,read,4197,1.6614742473688429
26,rang,580,1.3892796085554735
27,i,263140,0.8534810638581027
28,afterwards,1737,1.2086836777289884
29,kissed,1441,1.7319780845917845
30,its,12912,0.48361989892242774
31,dead,4175,2.729624079483508
32,certainly,3100,1.659060470678014
33,though,12104,1.6652024613002723
34,a,313437,1.0036773688260674
35,m,7914,0.7908221106928335
36,paul,515,3.587582353112038
37,my,79926,3.8352549377056193
38,is,80966,1.736261703989946
39,not,98938,0.9730122634343004
40,go,18469,0.45418742652828237
41,asked,9525,1.991829893763192
42,the,716071,0.9001363624956585
43,good,21327,1.435236798792084
44,it,173534,0.6262434887691547
45,seems,2228,1.5475255078250378
46,believe,5216,1.2722631501692854
47,mother,11072,3.518426976808558
48,close,3308,0.7468209446204662
49,up,34684,0.49694706514956866
50,relieved,502,1.9391727005123736
51,graham,284,2.5087985820428966
52,said,69057,2.2318310035444435
53,tenderly,474,0.8979532098409165
54,then,30756,1.1561369542272353
55,which,55348,1.0129620509478696
56,received,2072,1.987840285618156
57,with,119666,1.550849614717329
58,fancy,1791,1.3603905987033365
59,what,45925,1.1446771870577037
60,his,151274,2.880772514444624
61,left,9449,1.7341377332424621
62,him,78172,0.9164577047892846
63,come,21102,0.9521850315440142
64,about,25796,1.4655340028735613
65,hear,5439,1.502332469836455
66,son,4412,3.3492083782868196
67,coming,4611,1.3955492215690688
68,home,7880,1.4882747303462236
69,mrs,15267,0.37015059544549117
70,bretton,244,1.5619923062427912
71,rejoined,276,2.1319068463787882
72,think,18234,0.9857868876745132
73,arm,3454,1.8563112519958096
74,beside,1967,2.247484435386715
75,looked,13768,1.192619839774264
76,at,94972,1.2432700388820976
77,made,17522,1.0946105080800035
78,voice,7478,1.135172149552925
79,of,385180,1.3173301330754261
80,as,118566,1.3291788192869196
81,he,205737,0.9340541812322932
82,threw,1337,2.058201531770269
83,really,5290,1.1936372077858581
84,even,13366,1.169608996109202
85,noticed,1032,1.9116660547225401
86,this,53893,0.6070559096929468
87,approached,678,2.149451156029698
88,chair,3311,1.5191043514502836
89,they,51271,0.12630296779302752
90,more,30529,0.7931712115574749
91,than,23706,1.3164104121828784
92,gathered,967,0.1849620360826988
93,rich,1938,1.7923338320793272
94,for,111639,1.3305376355536551
95,friends,3922,0.9820281021159208
96,dear,10037,3.092151059882679
97,now,31571,1.016654388380497
98,does,5025,1.9042756285951905
99,know,23602,1.2241803029475584
100,till,6684,1.4705644666889095
101,knows,2445,2.029948851866802
102,all,58419,0.8373542642726698
103,lucy,1636,0.7577633030414105
104,sat,6014,1.4018376057109416
105,down,20217,0.03525317581783107
106,humour,746,1.1375821118921776
107,shook,1774,1.7753929460026878
108,thought,16520,1.0845031027443923
109,rather,7815,0.04127043773572946
110,wished,2086,2.055214225590534
111,worthy,970,1.9736239292666196
112,obviously,213,2.7964806544946774
113,pupil,376,1.1295713881460985
114,once,10811,0.9897169431114224
115,too,15750,1.1322345055655822
